condition_id,participant_id,source_id,source_key,source_value
P01_L149,P01,P01_L149_M002,nDW,4
P01_L149,P01,P01_L149_M002,nUP,1
P01_L149,P01,P01_L149_M002,start_weber_Contrast,1.0
P01_L149,P01,P01_L149_M002,number_trials,80
P01_L149,P01,P01_L149_M002,terminationINDEX,9
P01_L149,P01,P01_L149_M002,stepDWUP,0.005
P01_L149,P01,P01_L149_M002,logUNIT_UP,0.36
P01_L149,P01,P01_L149_M002,logUNIT_DW,0.30294
P01_L149,P01,P01_L149_M002,condRule,2
P01_L149,P01,P01_L149_M002,preReversalStepDW,0.36
P01_L149,P01,P01_L149_M002,Reversal_or_Trial,1
P01_L149,P01,P01_L149_M002,limit_Trial_Run,100
P01_L149,P01,P01_L149_M002,max_monitor_cdm2,400
P01_L149,P01,P01_L149_M002,bkg_monitor_cdm2,149
P01_L149,P01,P01_L149_M002,width,374.94805047229414
P01_L149,P01,P01_L149_M002,fs,63.0
P01_L149,P01,P01_L149_M002,ph,0.0
P01_L149,P01,P01_L149_M002,speed,0.0
P01_L149,P01,P01_L149_M002,contr,0.018
P01_L149,P01,P01_L149_M002,theta,0.0
P01_L149,P01,P01_L149_M002,bg,0.63
P01_L149,P01,P01_L149_M002,box,False
P01_L149,P01,P01_L149_M002,Lbg,25
P01_L149,P01,P01_L149_M002,Lmin,0.0
P01_L149,P01,P01_L149_M002,Lmax,25
P01_L149,P01,P01_L149_M002,gamma,0.0
P01_L149,P01,P01_L149_M002,BRTRR,1.2
P01_L149,P01,P01_L149_M002,flanker_width,5.0
P01_L149,P01,P01_L149_M002,flanker_displacement,3.0
P01_L149,P01,P01_L149_M002,probe_displacement_dx,0.4
P01_L149,P01,P01_L149_M002,probe_displacement_dy,0.2
P01_L149,P01,P01_L149_M002,pixel_metre_ratio,0.00023289062499999997
P01_L149,P01,P01_L149_M002,SdeX,0.05
P01_L149,P01,P01_L149_M002,SdeY,0.05
P01_L149,P01,P01_L149_M002,Probe_Height_Deg,0.13343643869556676
P01_L149,P01,P01_L149_M002,Probe_width_Deg,0.013343649840352816
P01_L149,P01,P01_L149_M003,distance_To_Monitor,1.0
P01_L149,P01,P01_L149_M003,win_widthy_Pixel,2560
P01_L149,P01,P01_L149_M003,win_widthx_Pixel,1440
P01_L149,P01,P01_L149_M003,win_widthy_Meter,0.3353
P01_L149,P01,P01_L149_M003,win_widthx_Meter,0.5962
P01_L149,P01,P01_L149_M003,Pixel Per Inch,164
P01_L149,P01,P01_L149_M003,Pixel width (m),0.00023289062499999997
P01_L149,P01,P01_L149_M003,Pixel Pitch (mm),0.155*0.155
P01_L149,P01,P01_L149_M003,bkg_intensity,0.63
P01_L149,P01,P01_L149_M003,max_intensity,1.0
P01_L149,P01,P01_L149_M003,time_Stimulus,250
P01_L149,P01,P01_L149_M003,reversalN,0.0
P01_L149,P01,P01_L149_M003,rateDW,0.5
P01_L149,P01,P01_L149_M003,correctTick,0
P01_L149,P01,P01_L149_M003,count_Reversals,0
P01_L149,P01,P01_L149_M003,probe_LR,0
P01_L149,P01,P01_L149_M003,human_LR,0
P01_L149,P01,P01_L149_M003,posY,0
P01_L149,P01,P01_L149_M003,rateUP,0.5
P01_L149,P01,P01_L149_M003,probe_pos (m),0.0
P01_L149,P01,P01_L149_M003,text,-1
P01_L149,P01,P01_L149_M003,reversePOINT,1
P01_L149,P01,P01_L149_M003,trialPOINT,8
P01_L149,P01,P01_L149_M003,nDW,4
P01_L149,P01,P01_L149_M003,nUP,1
P01_L149,P01,P01_L149_M003,start_weber_Contrast,1.0
P01_L149,P01,P01_L149_M003,number_trials,80
P01_L149,P01,P01_L149_M003,terminationINDEX,9
P01_L149,P01,P01_L149_M003,stepDWUP,0.005
P01_L149,P01,P01_L149_M003,logUNIT_UP,0.36
P01_L149,P01,P01_L149_M003,logUNIT_DW,0.30294
P01_L149,P01,P01_L149_M003,condRule,2
P01_L149,P01,P01_L149_M003,preReversalStepDW,0.36
P01_L149,P01,P01_L149_M003,Reversal_or_Trial,1
P01_L149,P01,P01_L149_M003,limit_Trial_Run,100
P01_L149,P01,P01_L149_M003,max_monitor_cdm2,400
P01_L149,P01,P01_L149_M003,bkg_monitor_cdm2,149
P01_L149,P01,P01_L149_M003,width,374.94805047229414
P01_L149,P01,P01_L149_M003,fs,63.0
P01_L149,P01,P01_L149_M003,ph,0.0
P01_L149,P01,P01_L149_M003,speed,0.0
P01_L149,P01,P01_L149_M003,contr,0.018
P01_L149,P01,P01_L149_M003,theta,0.0
P01_L149,P01,P01_L149_M003,bg,0.63
P01_L149,P01,P01_L149_M003,box,False
P01_L149,P01,P01_L149_M003,Lbg,25
P01_L149,P01,P01_L149_M003,Lmin,0.0
P01_L149,P01,P01_L149_M003,Lmax,25
P01_L149,P01,P01_L149_M003,gamma,0.0
P01_L149,P01,P01_L149_M003,BRTRR,1.2
P01_L149,P01,P01_L149_M003,flanker_width,5.0
P01_L149,P01,P01_L149_M003,flanker_displacement,3.0
P01_L149,P01,P01_L149_M003,probe_displacement_dx,0.4
P01_L149,P01,P01_L149_M003,probe_displacement_dy,0.2
P01_L149,P01,P01_L149_M003,pixel_metre_ratio,0.00023289062499999997
P01_L149,P01,P01_L149_M003,SdeX,0.05
P01_L149,P01,P01_L149_M003,SdeY,0.05
P01_L149,P01,P01_L149_M003,Probe_Height_Deg,0.13343643869556676
P01_L149,P01,P01_L149_M003,Probe_width_Deg,0.013343649840352816
P01_L149,P01,P01_L149_M004,distance_To_Monitor,1.0
P01_L149,P01,P01_L149_M004,win_widthy_Pixel,2560
P01_L149,P01,P01_L149_M004,win_widthx_Pixel,1440
P01_L149,P01,P01_L149_M004,win_widthy_Meter,0.3353
P01_L149,P01,P01_L149_M004,win_widthx_Meter,0.5962
P01_L149,P01,P01_L149_M004,Pixel Per Inch,164
P01_L149,P01,P01_L149_M004,Pixel width (m),0.00023289062499999997
P01_L149,P01,P01_L149_M004,Pixel Pitch (mm),0.155*0.155
P01_L149,P01,P01_L149_M004,bkg_intensity,0.63
P01_L149,P01,P01_L149_M004,max_intensity,1.0
P01_L149,P01,P01_L149_M004,time_Stimulus,250
P01_L149,P01,P01_L149_M004,reversalN,0.0
P01_L149,P01,P01_L149_M004,rateDW,0.5
P01_L149,P01,P01_L149_M004,correctTick,0
P01_L149,P01,P01_L149_M004,count_Reversals,0
P01_L149,P01,P01_L149_M004,probe_LR,0
P01_L149,P01,P01_L149_M004,human_LR,0
P01_L149,P01,P01_L149_M004,posY,0
P01_L149,P01,P01_L149_M004,rateUP,0.5
P01_L149,P01,P01_L149_M004,probe_pos (m),0.0
P01_L149,P01,P01_L149_M004,text,-1
P01_L149,P01,P01_L149_M004,reversePOINT,1
P01_L149,P01,P01_L149_M004,trialPOINT,8
P01_L149,P01,P01_L149_M004,nDW,4
P01_L149,P01,P01_L149_M004,nUP,1
P01_L149,P01,P01_L149_M004,start_weber_Contrast,1.0
P01_L149,P01,P01_L149_M004,number_trials,80
P01_L149,P01,P01_L149_M004,terminationINDEX,9
P01_L149,P01,P01_L149_M004,stepDWUP,0.005
P01_L149,P01,P01_L149_M004,logUNIT_UP,0.36
P01_L149,P01,P01_L149_M004,logUNIT_DW,0.30294
P01_L149,P01,P01_L149_M004,condRule,2
P01_L149,P01,P01_L149_M004,preReversalStepDW,0.36
P01_L149,P01,P01_L149_M004,Reversal_or_Trial,1
P01_L149,P01,P01_L149_M004,limit_Trial_Run,100
P01_L149,P01,P01_L149_M004,max_monitor_cdm2,400
P01_L149,P01,P01_L149_M004,bkg_monitor_cdm2,149
P01_L149,P01,P01_L149_M004,width,374.94805047229414
P01_L149,P01,P01_L149_M004,fs,63.0
P01_L149,P01,P01_L149_M004,ph,0.0
P01_L149,P01,P01_L149_M004,speed,0.0
P01_L149,P01,P01_L149_M004,contr,0.018
P01_L149,P01,P01_L149_M004,theta,0.0
P01_L149,P01,P01_L149_M004,bg,0.63
P01_L149,P01,P01_L149_M004,box,False
P01_L149,P01,P01_L149_M004,Lbg,25
P01_L149,P01,P01_L149_M004,Lmin,0.0
P01_L149,P01,P01_L149_M004,Lmax,25
P01_L149,P01,P01_L149_M004,gamma,0.0
P01_L149,P01,P01_L149_M004,BRTRR,1.2
P01_L149,P01,P01_L149_M004,flanker_width,5.0
P01_L149,P01,P01_L149_M004,flanker_displacement,3.0
P01_L149,P01,P01_L149_M004,probe_displacement_dx,0.4
P01_L149,P01,P01_L149_M004,probe_displacement_dy,0.2
P01_L149,P01,P01_L149_M004,pixel_metre_ratio,0.00023289062499999997
P01_L149,P01,P01_L149_M004,SdeX,0.05
P01_L149,P01,P01_L149_M004,SdeY,0.05
P01_L149,P01,P01_L149_M004,Probe_Height_Deg,0.13343643869556676
P01_L149,P01,P01_L149_M004,Probe_width_Deg,0.013343649840352816
P01_L200,P01,P01_L200_M001,distance_To_Monitor:,1.0
P01_L200,P01,P01_L200_M001,win_widthy:,0.2303
P01_L200,P01,P01_L200_M001,win_widthx:,0.33638
P01_L200,P01,P01_L200_M001,bkg_intensity:,0.735
P01_L200,P01,P01_L200_M001,max_intensity:,1.0
P01_L200,P01,P01_L200_M001,time_Stimulus:,250
P01_L200,P01,P01_L200_M001,reversalN:,0.0
P01_L200,P01,P01_L200_M001,rateDW:,0.5
P01_L200,P01,P01_L200_M001,correctTick:,0
P01_L200,P01,P01_L200_M001,count_Reversals:,0
P01_L200,P01,P01_L200_M001,probe_LR:,0
P01_L200,P01,P01_L200_M001,human_LR:,0
P01_L200,P01,P01_L200_M001,posY:,0
P01_L200,P01,P01_L200_M001,rateUP:,0.5
P01_L200,P01,P01_L200_M001,probe_pos:,0.0
P01_L200,P01,P01_L200_M001,text:,-1
P01_L200,P01,P01_L200_M001,reversePOINT:,1
P01_L200,P01,P01_L200_M001,trialPOINT:,6
P01_L200,P01,P01_L200_M001,nDW:,4
P01_L200,P01,P01_L200_M001,nUP:,1
P01_L200,P01,P01_L200_M001,start_weber_Contrast:,0.15
P01_L200,P01,P01_L200_M001,number_trials:,100
P01_L200,P01,P01_L200_M001,terminationINDEX:,9
P01_L200,P01,P01_L200_M001,stepDWUP:,0.005
P01_L200,P01,P01_L200_M001,logUNIT_UP:,0.3
P01_L200,P01,P01_L200_M001,logUNIT_DW:,0.25245
P01_L200,P01,P01_L200_M001,condRule:,2
P01_L200,P01,P01_L200_M001,preReversalStepDW:,0.35
P01_L200,P01,P01_L200_M001,Reversal_or_Trial:,1
P01_L200,P01,P01_L200_M001,limit_Trial_Run:,100
P01_L200,P01,P01_L200_M001,max_monitor_cdm2:,400
P01_L200,P01,P01_L200_M001,avg_monitor_cdm2:,200
P01_L200,P01,P01_L200_M001,width:,665.8272745893497
P01_L200,P01,P01_L200_M001,fs:,260
P01_L200,P01,P01_L200_M001,ph:,0.0
P01_L200,P01,P01_L200_M001,speed:,0.0
P01_L200,P01,P01_L200_M001,contr:,0.162
P01_L200,P01,P01_L200_M001,theta:,0.0
P01_L200,P01,P01_L200_M001,bg:,0.735
P01_L200,P01,P01_L200_M001,box:,False
P01_L200,P01,P01_L200_M001,Lbg:,25
P01_L200,P01,P01_L200_M001,Lmin:,0.0
P01_L200,P01,P01_L200_M001,Lmax:,25
P01_L200,P01,P01_L200_M001,gamma:,0.0
P01_L200,P01,P01_L200_M001,BRTRR:,1.2
P01_L200,P01,P01_L200_M001,flanker_width:,5.0
P01_L200,P01,P01_L200_M001,flanker_displacement:,3.0
P01_L200,P01,P01_L200_M001,probe_displacement_dx:,0.48
P01_L200,P01,P01_L200_M002,distance_To_Monitor:,1.0
P01_L200,P01,P01_L200_M002,win_widthy:,0.2303
P01_L200,P01,P01_L200_M002,win_widthx:,0.33638
P01_L200,P01,P01_L200_M002,bkg_intensity:,0.735
P01_L200,P01,P01_L200_M002,max_intensity:,1.0
P01_L200,P01,P01_L200_M002,time_Stimulus:,250
P01_L200,P01,P01_L200_M002,reversalN:,0.0
P01_L200,P01,P01_L200_M002,rateDW:,0.5
P01_L200,P01,P01_L200_M002,correctTick:,0
P01_L200,P01,P01_L200_M002,count_Reversals:,0
P01_L200,P01,P01_L200_M002,probe_LR:,0
P01_L200,P01,P01_L200_M002,human_LR:,0
P01_L200,P01,P01_L200_M002,posY:,0
P01_L200,P01,P01_L200_M002,rateUP:,0.5
P01_L200,P01,P01_L200_M002,probe_pos:,0.0
P01_L200,P01,P01_L200_M002,text:,-1
P01_L200,P01,P01_L200_M002,reversePOINT:,1
P01_L200,P01,P01_L200_M002,trialPOINT:,6
P01_L200,P01,P01_L200_M002,nDW:,4
P01_L200,P01,P01_L200_M002,nUP:,1
P01_L200,P01,P01_L200_M002,start_weber_Contrast:,0.15
P01_L200,P01,P01_L200_M002,number_trials:,100
P01_L200,P01,P01_L200_M002,terminationINDEX:,9
P01_L200,P01,P01_L200_M002,stepDWUP:,0.005
P01_L200,P01,P01_L200_M002,logUNIT_UP:,0.3
P01_L200,P01,P01_L200_M002,logUNIT_DW:,0.25245
P01_L200,P01,P01_L200_M002,condRule:,2
P01_L200,P01,P01_L200_M002,preReversalStepDW:,0.35
P01_L200,P01,P01_L200_M002,Reversal_or_Trial:,1
P01_L200,P01,P01_L200_M002,limit_Trial_Run:,100
P01_L200,P01,P01_L200_M002,max_monitor_cdm2:,400
P01_L200,P01,P01_L200_M002,width:,665.8272745893497
P01_L200,P01,P01_L200_M002,fs:,260
P01_L200,P01,P01_L200_M002,ph:,0.0
P01_L200,P01,P01_L200_M002,speed:,0.0
P01_L200,P01,P01_L200_M002,contr:,0.162
P01_L200,P01,P01_L200_M002,theta:,0.0
P01_L200,P01,P01_L200_M002,bg:,0.735
P01_L200,P01,P01_L200_M002,box:,False
P01_L200,P01,P01_L200_M002,Lbg:,25
P01_L200,P01,P01_L200_M002,Lmin:,0.0
P01_L200,P01,P01_L200_M002,Lmax:,25
P01_L200,P01,P01_L200_M002,gamma:,0.0
P01_L200,P01,P01_L200_M002,BRTRR:,1.2
P01_L200,P01,P01_L200_M002,flanker_width:,5.0
P01_L200,P01,P01_L200_M002,flanker_displacement:,3.0
P01_L200,P01,P01_L200_M002,probe_displacement_dx:,0.48
P01_L200,P01,P01_L200_M003,distance_To_Monitor:,1.0
P01_L200,P01,P01_L200_M003,win_widthy:,0.2303
P01_L200,P01,P01_L200_M003,win_widthx:,0.33638
P01_L200,P01,P01_L200_M003,bkg_intensity:,0.735
P01_L200,P01,P01_L200_M003,max_intensity:,1.0
P01_L200,P01,P01_L200_M003,time_Stimulus:,250
P01_L200,P01,P01_L200_M003,reversalN:,0.0
P01_L200,P01,P01_L200_M003,rateDW:,0.5
P01_L200,P01,P01_L200_M003,correctTick:,0
P01_L200,P01,P01_L200_M003,count_Reversals:,0
P01_L200,P01,P01_L200_M003,probe_LR:,0
P01_L200,P01,P01_L200_M003,human_LR:,0
P01_L200,P01,P01_L200_M003,posY:,0
P01_L200,P01,P01_L200_M003,rateUP:,0.5
P01_L200,P01,P01_L200_M003,probe_pos:,0.0
P01_L200,P01,P01_L200_M003,text:,-1
P01_L200,P01,P01_L200_M003,reversePOINT:,1
P01_L200,P01,P01_L200_M003,trialPOINT:,6
P01_L200,P01,P01_L200_M003,nDW:,4
P01_L200,P01,P01_L200_M003,nUP:,1
P01_L200,P01,P01_L200_M003,start_weber_Contrast:,0.15
P01_L200,P01,P01_L200_M003,number_trials:,100
P01_L200,P01,P01_L200_M003,terminationINDEX:,9
P01_L200,P01,P01_L200_M003,stepDWUP:,0.005
P01_L200,P01,P01_L200_M003,logUNIT_UP:,0.3
P01_L200,P01,P01_L200_M003,logUNIT_DW:,0.25245
P01_L200,P01,P01_L200_M003,condRule:,2
P01_L200,P01,P01_L200_M003,preReversalStepDW:,0.35
P01_L200,P01,P01_L200_M003,Reversal_or_Trial:,1
P01_L200,P01,P01_L200_M003,limit_Trial_Run:,100
P01_L200,P01,P01_L200_M003,max_monitor_cdm2:,400
P01_L200,P01,P01_L200_M003,width:,665.8272745893497
P01_L200,P01,P01_L200_M003,fs:,260
P01_L200,P01,P01_L200_M003,ph:,0.0
P01_L200,P01,P01_L200_M003,speed:,0.0
P01_L200,P01,P01_L200_M003,contr:,0.162
P01_L200,P01,P01_L200_M003,theta:,0.0
P01_L200,P01,P01_L200_M003,bg:,0.735
P01_L200,P01,P01_L200_M003,box:,False
P01_L200,P01,P01_L200_M003,Lbg:,25
P01_L200,P01,P01_L200_M003,Lmin:,0.0
P01_L200,P01,P01_L200_M003,Lmax:,25
P01_L200,P01,P01_L200_M003,gamma:,0.0
P01_L200,P01,P01_L200_M003,BRTRR:,1.2
P01_L200,P01,P01_L200_M003,flanker_width:,5.0
P01_L200,P01,P01_L200_M003,flanker_displacement:,3.0
P01_L200,P01,P01_L200_M003,probe_displacement_dx:,0.48
P01_L200,P01,P01_L200_M004,distance_To_Monitor:,1.0
P01_L200,P01,P01_L200_M004,win_widthy:,0.2303
P01_L200,P01,P01_L200_M004,win_widthx:,0.33638
P01_L200,P01,P01_L200_M004,bkg_intensity:,0.735
P01_L200,P01,P01_L200_M004,max_intensity:,1.0
P01_L200,P01,P01_L200_M004,time_Stimulus:,250
P01_L200,P01,P01_L200_M004,reversalN:,0.0
P01_L200,P01,P01_L200_M004,rateDW:,0.5
P01_L200,P01,P01_L200_M004,correctTick:,0
P01_L200,P01,P01_L200_M004,count_Reversals:,0
P01_L200,P01,P01_L200_M004,probe_LR:,0
P01_L200,P01,P01_L200_M004,human_LR:,0
P01_L200,P01,P01_L200_M004,posY:,0
P01_L200,P01,P01_L200_M004,rateUP:,0.5
P01_L200,P01,P01_L200_M004,probe_pos:,0.0
P01_L200,P01,P01_L200_M004,text:,-1
P01_L200,P01,P01_L200_M004,reversePOINT:,1
P01_L200,P01,P01_L200_M004,trialPOINT:,7
P01_L200,P01,P01_L200_M004,nDW:,4
P01_L200,P01,P01_L200_M004,nUP:,1
P01_L200,P01,P01_L200_M004,start_weber_Contrast:,0.15
P01_L200,P01,P01_L200_M004,number_trials:,100
P01_L200,P01,P01_L200_M004,terminationINDEX:,9
P01_L200,P01,P01_L200_M004,stepDWUP:,0.005
P01_L200,P01,P01_L200_M004,logUNIT_UP:,0.3
P01_L200,P01,P01_L200_M004,logUNIT_DW:,0.25245
P01_L200,P01,P01_L200_M004,condRule:,2
P01_L200,P01,P01_L200_M004,preReversalStepDW:,0.35
P01_L200,P01,P01_L200_M004,Reversal_or_Trial:,1
P01_L200,P01,P01_L200_M004,limit_Trial_Run:,100
P01_L200,P01,P01_L200_M004,max_monitor_cdm2:,400
P01_L200,P01,P01_L200_M004,width:,665.8272745893497
P01_L200,P01,P01_L200_M004,fs:,260
P01_L200,P01,P01_L200_M004,ph:,0.0
P01_L200,P01,P01_L200_M004,speed:,0.0
P01_L200,P01,P01_L200_M004,contr:,0.162
P01_L200,P01,P01_L200_M004,theta:,0.0
P01_L200,P01,P01_L200_M004,bg:,0.735
P01_L200,P01,P01_L200_M004,box:,False
P01_L200,P01,P01_L200_M004,Lbg:,25
P01_L200,P01,P01_L200_M004,Lmin:,0.0
P01_L200,P01,P01_L200_M004,Lmax:,25
P01_L200,P01,P01_L200_M004,gamma:,0.0
P01_L200,P01,P01_L200_M004,BRTRR:,1.2
P01_L200,P01,P01_L200_M004,flanker_width:,5.0
P01_L200,P01,P01_L200_M004,flanker_displacement:,3.0
P01_L200,P01,P01_L200_M004,probe_displacement_dx:,0.48
P01_L200,P01,P01_L200_M005,distance_To_Monitor:,1.0
P01_L200,P01,P01_L200_M005,win_widthy:,0.2303
P01_L200,P01,P01_L200_M005,win_widthx:,0.33638
P01_L200,P01,P01_L200_M005,bkg_intensity:,0.735
P01_L200,P01,P01_L200_M005,max_intensity:,1.0
P01_L200,P01,P01_L200_M005,time_Stimulus:,250
P01_L200,P01,P01_L200_M005,reversalN:,0.0
P01_L200,P01,P01_L200_M005,rateDW:,0.5
P01_L200,P01,P01_L200_M005,correctTick:,0
P01_L200,P01,P01_L200_M005,count_Reversals:,0
P01_L200,P01,P01_L200_M005,probe_LR:,0
P01_L200,P01,P01_L200_M005,human_LR:,0
P01_L200,P01,P01_L200_M005,posY:,0
P01_L200,P01,P01_L200_M005,rateUP:,0.5
P01_L200,P01,P01_L200_M005,probe_pos:,0.0
P01_L200,P01,P01_L200_M005,text:,-1
P01_L200,P01,P01_L200_M005,reversePOINT:,1
P01_L200,P01,P01_L200_M005,trialPOINT:,7
P01_L200,P01,P01_L200_M005,nDW:,4
P01_L200,P01,P01_L200_M005,nUP:,1
P01_L200,P01,P01_L200_M005,start_weber_Contrast:,0.32
P01_L200,P01,P01_L200_M005,number_trials:,100
P01_L200,P01,P01_L200_M005,terminationINDEX:,9
P01_L200,P01,P01_L200_M005,stepDWUP:,0.005
P01_L200,P01,P01_L200_M005,logUNIT_UP:,0.3
P01_L200,P01,P01_L200_M005,logUNIT_DW:,0.25245
P01_L200,P01,P01_L200_M005,condRule:,2
P01_L200,P01,P01_L200_M005,preReversalStepDW:,0.3
P01_L200,P01,P01_L200_M005,Reversal_or_Trial:,1
P01_L200,P01,P01_L200_M005,limit_Trial_Run:,100
P01_L200,P01,P01_L200_M005,max_monitor_cdm2:,400
P01_L200,P01,P01_L200_M005,width:,665.8272745893497
P01_L200,P01,P01_L200_M005,fs:,100
P01_L200,P01,P01_L200_M005,ph:,0.0
P01_L200,P01,P01_L200_M005,speed:,0.0
P01_L200,P01,P01_L200_M005,contr:,0.162
P01_L200,P01,P01_L200_M005,theta:,0.0
P01_L200,P01,P01_L200_M005,bg:,0.735
P01_L200,P01,P01_L200_M005,box:,False
P01_L200,P01,P01_L200_M005,Lbg:,25
P01_L200,P01,P01_L200_M005,Lmin:,0.0
P01_L200,P01,P01_L200_M005,Lmax:,25
P01_L200,P01,P01_L200_M005,gamma:,0.0
P01_L200,P01,P01_L200_M005,BRTRR:,1.2
P01_L200,P01,P01_L200_M005,flanker_width:,5.0
P01_L200,P01,P01_L200_M005,flanker_displacement:,3.0
P01_L200,P01,P01_L200_M005,probe_displacement_dx:,0.48
P01_L200,P01,P01_L200_M005,probe_displacement_dy:,0.2
P01_L300,P01,P01_L300_M001,distance_To_Monitor:,1.0
P01_L300,P01,P01_L300_M001,win_widthy:,0.2303
P01_L300,P01,P01_L300_M001,win_widthx:,0.33638
P01_L300,P01,P01_L300_M001,bkg_intensity:,0.89
P01_L300,P01,P01_L300_M001,max_intensity:,1.0
P01_L300,P01,P01_L300_M001,time_Stimulus:,250
P01_L300,P01,P01_L300_M001,reversalN:,0.0
P01_L300,P01,P01_L300_M001,rateDW:,0.5
P01_L300,P01,P01_L300_M001,correctTick:,0
P01_L300,P01,P01_L300_M001,count_Reversals:,0
P01_L300,P01,P01_L300_M001,probe_LR:,0
P01_L300,P01,P01_L300_M001,human_LR:,0
P01_L300,P01,P01_L300_M001,posY:,0
P01_L300,P01,P01_L300_M001,rateUP:,0.5
P01_L300,P01,P01_L300_M001,probe_pos:,0.0
P01_L300,P01,P01_L300_M001,text:,-1
P01_L300,P01,P01_L300_M001,reversePOINT:,1
P01_L300,P01,P01_L300_M001,trialPOINT:,6
P01_L300,P01,P01_L300_M001,nDW:,4
P01_L300,P01,P01_L300_M001,nUP:,1
P01_L300,P01,P01_L300_M001,start_weber_Contrast:,0.15
P01_L300,P01,P01_L300_M001,number_trials:,100
P01_L300,P01,P01_L300_M001,terminationINDEX:,9
P01_L300,P01,P01_L300_M001,stepDWUP:,0.005
P01_L300,P01,P01_L300_M001,logUNIT_UP:,0.3
P01_L300,P01,P01_L300_M001,logUNIT_DW:,0.25245
P01_L300,P01,P01_L300_M001,condRule:,2
P01_L300,P01,P01_L300_M001,preReversalStepDW:,0.35
P01_L300,P01,P01_L300_M001,Reversal_or_Trial:,1
P01_L300,P01,P01_L300_M001,limit_Trial_Run:,100
P01_L300,P01,P01_L300_M001,max_monitor_cdm2:,400
P01_L300,P01,P01_L300_M001,avg_monitor_cdm2:,300
P01_L300,P01,P01_L300_M001,width:,665.8272745893497
P01_L300,P01,P01_L300_M001,fs:,260
P01_L300,P01,P01_L300_M001,ph:,0.0
P01_L300,P01,P01_L300_M001,speed:,0.0
P01_L300,P01,P01_L300_M001,contr:,0.162
P01_L300,P01,P01_L300_M001,theta:,0.0
P01_L300,P01,P01_L300_M001,bg:,0.89
P01_L300,P01,P01_L300_M001,box:,False
P01_L300,P01,P01_L300_M001,Lbg:,25
P01_L300,P01,P01_L300_M001,Lmin:,0.0
P01_L300,P01,P01_L300_M001,Lmax:,25
P01_L300,P01,P01_L300_M001,gamma:,0.0
P01_L300,P01,P01_L300_M001,BRTRR:,1.2
P01_L300,P01,P01_L300_M001,flanker_width:,5.0
P01_L300,P01,P01_L300_M001,flanker_displacement:,3.0
P01_L300,P01,P01_L300_M001,probe_displacement_dx:,0.48
P01_L300,P01,P01_L300_M002,distance_To_Monitor:,1.0
P01_L300,P01,P01_L300_M002,win_widthy:,0.2303
P01_L300,P01,P01_L300_M002,win_widthx:,0.33638
P01_L300,P01,P01_L300_M002,bkg_intensity:,0.89
P01_L300,P01,P01_L300_M002,max_intensity:,1.0
P01_L300,P01,P01_L300_M002,time_Stimulus:,250
P01_L300,P01,P01_L300_M002,reversalN:,0.0
P01_L300,P01,P01_L300_M002,rateDW:,0.5
P01_L300,P01,P01_L300_M002,correctTick:,0
P01_L300,P01,P01_L300_M002,count_Reversals:,0
P01_L300,P01,P01_L300_M002,probe_LR:,0
P01_L300,P01,P01_L300_M002,human_LR:,0
P01_L300,P01,P01_L300_M002,posY:,0
P01_L300,P01,P01_L300_M002,rateUP:,0.5
P01_L300,P01,P01_L300_M002,probe_pos:,0.0
P01_L300,P01,P01_L300_M002,text:,-1
P01_L300,P01,P01_L300_M002,reversePOINT:,1
P01_L300,P01,P01_L300_M002,trialPOINT:,6
P01_L300,P01,P01_L300_M002,nDW:,4
P01_L300,P01,P01_L300_M002,nUP:,1
P01_L300,P01,P01_L300_M002,start_weber_Contrast:,0.15
P01_L300,P01,P01_L300_M002,number_trials:,100
P01_L300,P01,P01_L300_M002,terminationINDEX:,9
P01_L300,P01,P01_L300_M002,stepDWUP:,0.005
P01_L300,P01,P01_L300_M002,logUNIT_UP:,0.3
P01_L300,P01,P01_L300_M002,logUNIT_DW:,0.25245
P01_L300,P01,P01_L300_M002,condRule:,2
P01_L300,P01,P01_L300_M002,preReversalStepDW:,0.35
P01_L300,P01,P01_L300_M002,Reversal_or_Trial:,1
P01_L300,P01,P01_L300_M002,limit_Trial_Run:,100
P01_L300,P01,P01_L300_M002,max_monitor_cdm2:,400
P01_L300,P01,P01_L300_M002,width:,665.8272745893497
P01_L300,P01,P01_L300_M002,fs:,260
P01_L300,P01,P01_L300_M002,ph:,0.0
P01_L300,P01,P01_L300_M002,speed:,0.0
P01_L300,P01,P01_L300_M002,contr:,0.162
P01_L300,P01,P01_L300_M002,theta:,0.0
P01_L300,P01,P01_L300_M002,bg:,0.89
P01_L300,P01,P01_L300_M002,box:,False
P01_L300,P01,P01_L300_M002,Lbg:,25
P01_L300,P01,P01_L300_M002,Lmin:,0.0
P01_L300,P01,P01_L300_M002,Lmax:,25
P01_L300,P01,P01_L300_M002,gamma:,0.0
P01_L300,P01,P01_L300_M002,BRTRR:,1.2
P01_L300,P01,P01_L300_M002,flanker_width:,5.0
P01_L300,P01,P01_L300_M002,flanker_displacement:,3.0
P01_L300,P01,P01_L300_M002,probe_displacement_dx:,0.48
P01_L300,P01,P01_L300_M003,distance_To_Monitor:,1.0
P01_L300,P01,P01_L300_M003,win_widthy:,0.2303
P01_L300,P01,P01_L300_M003,win_widthx:,0.33638
P01_L300,P01,P01_L300_M003,bkg_intensity:,0.89
P01_L300,P01,P01_L300_M003,max_intensity:,1.0
P01_L300,P01,P01_L300_M003,time_Stimulus:,250
